TOURISMUSORGANISATIONEN IN SÜDTIROL;;;;;;;
Nr.;Bezeichnung;Präsident/in;Straße;Ort;Tel. - Fax;E-Mail;Web
11;Tourismusverein Deutschnonsberg (U.l.Frau im Walde, St.Felix, Laurein);Mirko Mocatti;Dorf 2;39040 Laurein                   ;"Tel. 0463 530088
Fax 0463 532100";info@deutschnonsberg.it;www.deutschnonsberg.it
12;Dorf Tirol ;Klaus Mair;Hauptstraße 31;39019 Tirol                      ;"Tel. 0473 923314   
Fax 0473 923012";info@dorf-tirol.it;www.dorf-tirol.it
13;Tourismusgenossenschaft Eggental - Deutschnofen - Obereggen;Erich Thaler;Dorf 9/A;39050 Deutschnofen  ;"Tel. 0471 619540 
Fax 0471 619549";info@eggental.com;www.eggental.com
14;Tourismusverein Eppan an der Weinstraße ;Evelyn Falser;Rathausplatz 1;39057 Eppan       ;"Tel. 0471 662206    
Fax 0471 663546";info@eppan.com;www.eppan.com
15;Tourismusgenossenschaft Ferienregion Ortlergebiet im Nationalpark Stilfserjoch;Nadja Hutter;Hauptstraße 72;39029 Sulden       ;"Tel. 0473 613015   
Fax 0473 613182";info@ortlergebiet.it;www.ortlergebiet.it
16;Tourismusverein Ferienregion Reschenpass;Deborah Zanzotti;Hauptstraße 61;39020 Graun                      ;"Tel. 0473 634603   
Fax 0473 634713";info@reschenpass.it;www.reschenpass.it
17;"Tourismusverein Gitschberg Jochtal
(Meransen, Mühlbach-Vals-Spinges, Vintl) ";Stefan Gruber;Katharina-Lanz-Straße 90;39037 Mühlbach       ;"Tel. 0472 886048
Fax0472 849849";info@gitschberg-jochtal.com;www.gitschberg-jochtal.com
18;Tourismusverein Gossensaß ;Harald Siller;Ibsenplatz 2;39040 Gossensaß ;"Tel. 0472 632372   
Fax 0472 632580";info@gossensass.org;www.gossensass.org
19;Tourismusgenossenschaft Gsieser Tal-Welsberg-Taisten;Wilhelm Stoll;St. Martin 10/A;39030 Gsies                      ;"Tel. 0474 978436
Fax 0474 978226";info@gsieser-tal.com;www.gsieser-tal.com
20;Tourismusverein Hafling-Vöran-Meran 2000;Peter Reiterer;St.-Kathrein-Straße 2/B;39010 Hafling              ;"Tel. 0473 279457
Fax 0473 279540";info@hafling.com;www.hafling.com
21;Tourismusverein Innichen ;Dieter Wurmböck;Pflegplatz 1;39038 Innichen          ;"Tel. 0474 913149   
Fax 0474 913677";info@innichen.it;www.innichen.it
22;Tourismusverein Jenesien;Florian Gamper;Schrann 7;39050 Jenesien        ;"Tel. 0471 354196   
Fax 0471 354085";info@jenesien.net;www.jenesien.net
23;Tourismusverein Kaltern am See ;Sighard Rainer;Marktplatz 8;39052 Kaltern         ;"Tel. 0471 963169   
Fax 0471 963469";info@kaltern.com;www.kaltern.com
24;Tourismusverein Kastelbell-Tschars ;Manfred Prantl;Staatsstraße 5;39020 Kastelbell      ;"Tel. 0473 624193  
Fax 0473 624559";info@kastelbell-tschars.com;www.kastelbell-tschars.com
25;Tourismusverein Kiens ;Johann Peter Gatterer;Kiener Dorfweg 4/B;39030 Kiens      ;"Tel. 0474 565245   
Fax 0474 565611";info@kiens.bz;www.kiens.info
26;Tourismusgenossenschaft Klausen, Barbian, Feldthurns und Villanders ;Michael Oberpertinger;Marktplatz 1;39043 Klausen;"Tel. 0472 847424
Fax 0472 847244";info@klausen.it;www.klausen.it
27;Tourismusverein Lajen ;Hannes Schrott;W.-v.-d.-Vogelweide-Straße 30/B;39040 Lajen                ;"Tel. 0471 655633    
Fax 0471 655566";info@lajen.info;www.lajen.info
28;Tourismusverein Lana und Umgebung (Burgstall, Gargazon, Tscherms) ;Sabina Maria Schwienbacher;A.-Hofer-Straße 9/1;39011 Lana                       ;"Tel. 0473 561770  
Fax 0473 561979";info@lana.net;www.lana.net
29;Tourismusverein Latsch-Martell;Roman Schwienbacher;Hauptstraße 38/A;39021 Latsch           ;"Tel. 0473 623109   
Fax 0473 622042";info@latsch.it;www.latsch-martell.it
30;Tourismusverein Leifers, Branzoll, Pfatten;Dieter Frasnelli;Kennedystraße 88;39055 Leifers       ;"Tel. 0471950420
Fax 0471951226";tourist@leifers-info.it;www.leifers-info.it
31;Tourismusverein Lüsen;Franz Hinteregger;Dorfgasse 19;39040 Lüsen             ;"Tel. 0472 413750  
Fax 0472 413838";info@luesen.com;www.luesen.com
32;Tourismusverein Mals, Schluderns, Taufers im Münstertal und der Stadt Glurns;Lukas Gerstl ;St.-Benedikt-Straße1;39024 Mals             ;"Tel. 0473 831190     
Fax 0473 831901";info@ferienregion-obervinschgau.it;www.ferienregion-obervinschgau.it
33;Tourismusverein Marling;Alois Arquin;Kirchplatz 5;39020 Marling         ;"Tel. 0473 447147   
Fax 0473 221775";mail@marling.info;www.marling.info
34;Meran (Kurverwaltung);Ingrid Hofer;Freiheitsstraße 45;39012 Meran ;"Tel. 0473 272000   
Fax 0473 235524";info@meraninfo.it;www.meraninfo.it
35;Tourismusverein Mölten;Elisabeth Reiterer Gruber;Möltnerstraße 1;39010 Mölten                           ;"Tel. 0471 668282   
Fax 0471 667228";info@moelten.net;www.moelten.net
36;Tourismusverein Nals;Hannes Hölzl;Rathausplatz 1/A;39010 Nals                   ;"Tel. 0471 678619  
Fax 0471 678141";info@nals.info;www.nals.info
37;Tourismusgenossenschaft Naturns;Christof Tappeiner;Rathausplatz 1;39025 Naturns   ;"Tel. 0473 666077  
Fax 0473 666369";info@naturns.it;www.naturns.it
38;Tourismusgenossenschaft Natz-Schabs;Gottfried Klement;Rathaus Schabs;39040 Natz-Schabs ;"Tel. 0472 415020   
Fax 0472 415122";info@natz-schabs.info;www.natz-schabs.info
39;Tourismusverein Niederdorf;Hubert Trenker;Bahnhofstraße 3; 39039 Niederdorf         ;"Tel. 0474 745136  
Fax 0474 745283";info@niederdorf.it;www.niederdorf.it
40;Tourismusverein Olang;Daniela Gasser;Florianiplatz 19;39030 Olang ;"Tel. 0474 496277   
Fax 0474 498005";info@olang.com;www.olang.com
41;Tourismusverein Partschins Rabland und Töll;Philip Ganthaler;Spaureggstraße 10;39020 Partschins;"Tel. 0473 967157   
Fax 0473 967798";info@partschins.com;www.partschins.com
42;"Tourismusverein Passeiertal (St. Leonhard, St. Martin,
Hinterpasseier, Riffian Kuens)";Urich Königsrainer;Passeierstraße 40;39015 St. Leonhard i.P.;"Tel. 0473 656188   
Fax 0473 656624";info@passeiertal.it;www.passeiertal.it
43;Tourismusverein Prad am Stilfserjoch;Alfred Karner;Kreuzweg 4 C;39026 Prad am Stilfserjoch;"Tel. 0473 616034
Fax 0473 616776";tv@prad.info;www.prad-am-stilfserjoch.it
44;Tourismusverein Pragser Tal;Christian Ploner;Außerprags 78;39030 Prags  ;"Tel. 0474 748660  
Fax 0474 749242";info@pragsertal.info;www.pragsertal.info
45;Ratschings Tourismus Genossenschaft ;Norbert Haller;Jaufenstraße 1;39040 Ratschings    ;"Tel. 0472 760608
";info@ratschings.info;www.ratschings.info
46;Tourismusverein Ritten;Wolfgang Holzner;Dorfstraße 5;39054 Klobenstein ;"Tel. 0471 356100   
Fax 0471 356799";tourismusverein@ritten.com;www.ritten.com
47;Tourismusverein Rodeneck;"Marlene Steinmann
Kranebitter";Vill 3/A;39037 Rodeneck            ;"Tel. 0472 454044   
Fax 0472 454050";info@rodeneck.com;www.rodeneck.info
48;Tourismusgenossenschaft San Vigilio San Martin;Werner Call;Caterina-Lanz-Straße 14;39030 St. Vigil in E.                 ;"Tel. 0474 501037  
Fax 0474 501566";info@sanvigilio.com;www.sanvigilio.com
49;Tourismusverein Sand in Taufers (Mühlwald-Lappach);Christian Eppacher;J.-Jungmann-Straße 8;39032 Sand in Taufers     ;"Tel. 0474 678076  
Fax 0474 678922";info@taufers.com;www.taufers.com
50;Tourismusverein Sarntal;Sonia Florian;Kirchplatz 9;39058 Sarnthein ;"Tel. 0471 623091  
Fax 0471 622350";info@sarntal.com;www.sarntal.com
51;Tourismusverein Schenna;Hansjörg Ainhauser;Erzherzog-J.-Platz 1/D;39017 Schenna                ;"Tel. 0473 945669  
Fax 0473 945581";info@schenna.com;www.schenna.com
52;Tourismusverein Schlanders-Laas ;Karl Pfitscher ;Kapuziner Straße 10;39028 Schlanders    ;"Tel. 0473 730155   
Fax 0473 621615";info@schlanders-laas.it;www.schlanders-laas.it
53;Tourismusverein Kastelruth;Martin Plunger;Krausplatz 1;39040 Kastelruth       ;"Tel. 0471 706333  
Fax 0471 705188";info@kastelruth.com;www.kastelruth.com
54;Tourismusverein Schnalstal;Walter Zerpelloni;Karthaus 42;39020 Schnals    ;"Tel. 0473 679148   
Fax 0473 679177";info@schnalstal.it;www.schnalstal.it
55;Tourismusverein Seis am Schlern;Christine Egger Gasslitter;Schlernstraße 16;39040 Seis am Schlern;"Tel. 0471 707024   
Fax 0471 706600";seis@seiseralm.it;www.seis.it
56;Tourismusverein Seiser Alm;Kurt Malfertheiner;Compatsch 50;39040 Seiser Alm;"Tel. 0471 727904  
Fax 0471 727828";info@seiseralm.net;www.seiseralm.net
57;Tourismusverein Sexten;Waltraud Watschinger;Dolomitenstraße 45;39030 Sexten   ;"Tel. 0474 710310  
Fax 0474 710318";info@sesto.it;www.sexten.it
58;Tourismusverein St. Christina/Gröden;Ezio Prinoth;Chemunstraße 9;39047 St. Christina  ;"Tel. 0471 777800    
Fax 0471 793198";s.cristina@valgardena.it;www.valgardena.it
59;Tourismusverein St. Ulrich/Gröden;Ambros Hofer;Reziastraße 1;39046 St.Ulrich/Gröden;"Tel. 0471 777600  
Fax 0471 796749";ortisei@valgardena.it;www.valgardena.it
60;Tourismusverein Steinegg;Werner Mahlknecht;Kirchweg 5;39053 Steinegg                ;"Tel. 0471 619560    
Fax 0471 376760";steinegg@eggental.com;www.sternendorf.it
61;Tourismusgenossenschaft Sterzing, Pfitsch, Freienfeld;Alois Bacher;Stadtplatz 3;39049 Sterzing                     ;"Tel. 0472 765325
Fax 0472 765441";info@infosterzing.it;www.sterzing.com
62;Tourismusverein Südtiroler Unterland (Kurtatsch, Kurtinig, Margreid);Carla Laurino;H.-Schweiggl-Platz 8;39040 Kurtatsch a.d.W.                   ;"Tel. 0471 880100    
Fax 0471 880451";info@suedtiroler-unterland.it;www.suedtirol-unterland.it
63;Tourismusverein Terenten;Armin Obexer;St.-Georg-Straße 1;39030 Terenten                  ;"Tel. 0472 546140    
Fax 0472 546340";info@terenten.com;www.terenten.com
64;Tourismusverein Terlan;Reinhold Runer;Dr.-Weiser-Platz 2;39018 Terlan                      ;"Tel. 0471 257165   
Fax 0471 257830  ";info@terlan.info;www.tvterlan.com
65;Tourismusverein Tiers am Rosengarten;David Rieder;St.-Georg-Straße 79;39050 Tiers                        ;"Tel. 0471 642127    
Fax 0471 642005";info@tiers.it;www.tiers-rosengarten.com
66;Tourismusverein Tisens/Prissian;Thomas Anton Knoll;Bäcknhaus 54;39010 Tisens                      ;"Tel. 0473 920822
Fax 0473 921010";info@tisensprissian.com;www.tisensprissian.com
67;Tourismusverein Toblach;Andreas Trenker;Dolomitenstraße 3;39034 Toblach                    ;"Tel. 0474 972132    
Fax 0474 972730";info@toblach.info;www.toblach.info
68;Tourismusverein Tramin;Stephan Calliari;Mindelheimer Straße 10/A;39040 Tramin                     ;"Tel. 0471 860131    
Fax 0471 860820";info@tramin.com;www.tramin.com
69;Tourismusgenossenschaft Ultental/Proveis;Paul Rainer;Hauptstraße 104;39016 St. Walburg;"Tel. 0473 795387   
Fax 0473 795049";info@ultental.it;www.ultental.it
70;Villnöß Tourismus Genossenschaft;Franz Messner;St. Peter 11;39040 Villnöß - Teis              ;"Tel. 0472 840180    
Fax 0472 840312";info@villnoess.com;www.villnoess.com
71;Tourismusverein Völs am Schlern;Helmut Mitterstieler;Bozner Straße 4;39050 Völs                        ;"Tel. 0471 725047   
Fax 0471 725488";info@voels.it;www.voels.it
72;"Tourismusverein Wandergebiet Naturpark Trudner Horn
(Truden, Altrei, San Lugano)";Mike Iori;Am Kofl 2;39040 Truden                      ;"Tel. 0471 869078    
Fax 0471 869278";info@trudnerhorn.com;www.trudnerhorn.com
73;Tourismusverein Welschnofen-Karersee;Egon Seehauser;Dolomitenstraße 4;39056 Welschnofen         ;"Tel. 0471 619520
Fax 0471 619599";welschnofen@eggental.com;www.welschnofen.com 
74;Tourismusverein Wolkenstein in Gröden;Christoph Vinatzer;Meisulesstraße 213;39048 Wolkenstein           ;"Tel. 0471 777900    
Fax 0471 794245";selva@valgardena.it;www.valgardena.it
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
